"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.096534167E0,7.513419495E-2,6.652202562E-1,2.128386497E-3,6.694532594E-1
2.106496167E0,1.252611185E-1,5.965881971E-1,4.927448630E-2,6.115846627E-1
2.116459167E0,3.961334202E-2,6.418151676E-1,-7.751069069E-2,6.476911559E-1
2.126421167E0,9.769877831E-2,5.391254892E-1,8.729015887E-2,5.548161103E-1
2.136384167E0,5.089888849E-2,4.297363635E-2,-6.523855448E-2,9.323893640E-2
2.146346167E0,1.125814679E-1,3.506381538E-2,9.148202777E-2,1.492414804E-1
2.156309167E0,5.291760315E-2,6.993512032E-2,-6.434276104E-2,1.087712493E-1
2.166272167E0,1.040394350E-1,2.687377573E-2,9.701992571E-2,1.447731669E-1
2.176234167E0,4.831554294E-2,5.306939322E-2,-4.428447247E-2,8.433188417E-2
2.186197167E0,9.032258886E-2,3.085419470E-2,8.190194964E-2,1.257699517E-1
2.196159167E0,5.265160966E-2,5.738044482E-2,-1.030279398E-2,7.855478986E-2
2.206122167E0,7.410111986E-2,2.996384648E-2,4.613043845E-2,9.228664806E-2
2.216084167E0,3.926174163E-2,4.681519308E-2,-2.287547708E-2,6.524135276E-2
2.226047167E0,5.841526494E-2,4.191759266E-2,4.583106101E-2,8.526379012E-2
2.236009167E0,5.732003577E-2,3.042826158E-2,1.170144796E-2,6.594231940E-2
2.245972167E0,5.475699102E-2,3.249886114E-2,5.047141135E-2,8.125187631E-2
2.255934167E0,4.732101378E-2,5.403263977E-2,-1.898298562E-2,7.429103747E-2
2.265897167E0,5.862361768E-2,4.225896042E-2,-1.523562205E-1,1.686267067E-1
2.275859167E0,6.757482776E-2,4.127967970E-2,1.393865114E-1,1.603089794E-1
2.285822167E0,3.933234219E-2,4.931374487E-2,1.975774169E-3,6.310928822E-2
2.295784167E0,8.847686956E-2,4.647167830E-2,2.028597915E-1,2.261412575E-1
2.305747167E0,5.642924444E-2,4.704317054E-2,-1.239077622E-1,1.440501755E-1
2.315709167E0,9.825794572E-2,2.713743947E-2,3.027162015E-2,1.063364261E-1
2.325672167E0,4.423905605E-2,4.269142597E-2,-2.975998878E-2,6.830306628E-2
2.335635167E0,-1.639580611E0,2.814563467E-1,5.346635520E-2,1.664422094E0
2.345597167E0,-2.508846694E0,3.715657771E-1,1.684284621E-1,2.541798774E0
2.355560167E0,-3.244655634E0,-8.016888974E-2,-7.646462381E-2,3.246546484E0
2.365522167E0,-4.478963974E0,-4.513656162E-1,6.496841311E-2,4.502118401E0
2.375485167E0,-1.744156601E0,-2.375403877E0,-5.188129199E-1,2.992288869E0
2.385447167E0,2.295473791E-1,-2.868080912E0,1.145138009E0,3.096759787E0
2.395410167E0,-2.798348773E-1,-2.759028879E0,-9.049004763E-1,2.917086352E0
2.405372167E0,1.544889558E-1,-2.677660487E0,6.809614724E-1,2.767208169E0
2.415335167E0,4.958422428E-2,-2.241953751E0,4.653448105E-2,2.242984769E0
2.425297167E0,6.294181202E-1,-1.781614450E0,-6.731835061E-1,2.005864714E0
2.435260167E0,6.735808244E-1,-8.192774317E-1,6.707990116E-1,1.254949382E0
2.445222167E0,1.412840353E0,-5.566648338E-1,1.537782633E-1,1.526316269E0
2.455185167E0,2.232116396E0,-2.081970934E-1,-5.361528379E-1,2.305027006E0
2.465147167E0,2.219907848E0,2.317129685E-1,3.494945115E-1,2.259165369E0
2.475110167E0,2.020754606E0,1.855634718E-1,2.203686941E-1,2.041187238E0
2.485072167E0,1.795587687E0,-1.535569828E-1,-3.412534457E-1,1.834167060E0
2.495035167E0,4.534448496E-1,-3.553498219E-2,1.995327258E-1,4.966772344E-1
2.504998167E0,8.323122276E-2,-2.087077015E-1,5.554445565E-2,2.314552390E-1
2.514960167E0,-2.280927380E-1,-4.491991863E-1,-2.794039375E-1,5.760839924E-1
2.524923167E0,-9.264149409E-1,-3.743326430E-1,4.523511279E-1,1.096809515E0
2.534885167E0,-5.457879529E-1,-5.876450634E-1,-1.840849668E-1,8.228599426E-1
2.544848167E0,-8.641779815E-1,-4.574756277E-1,3.963184297E-2,9.786001311E-1
2.554810167E0,-8.826329635E-1,-8.562588049E-1,4.796354055E-2,1.230658600E0
2.564773167E0,-5.552040897E-1,-1.779474369E0,2.201535165E-2,1.864206342E0
2.574735500E0,-1.129541548E-1,-2.056299392E0,1.403548104E-1,2.064176664E0
2.584698500E0,-4.409966756E-1,-2.034246325E0,4.899615884E-2,2.082075120E0
2.594660500E0,-3.461860838E-1,-1.624418050E0,6.135834217E-2,1.662029979E0
2.604623500E0,5.371124391E-4,-1.234442680E0,-8.435544133E-2,1.237321647E0
2.614585500E0,1.040294491E-1,-1.115152756E0,-1.959986687E-3,1.119996267E0
2.624548500E0,-4.869779096E-2,-1.336553484E0,1.948432589E-1,1.351558577E0
2.634510500E0,6.170641961E-1,-8.238324858E-1,6.306222081E-2,1.031234712E0
2.644473500E0,3.895372675E-1,-9.614465600E-1,9.361158371E-2,1.041576641E0
2.654436500E0,2.708210654E-1,-1.046243685E0,4.364595652E-2,1.081607539E0
2.664398500E0,1.298610317E0,-9.510988156E-1,4.765129924E-2,1.610356594E0
2.674361500E0,1.840129583E0,-5.826575712E-1,-1.199217153E-1,1.933894502E0
2.684323500E0,8.392741784E-1,-4.362402946E-1,9.361567676E-2,9.505002031E-1
2.694286500E0,4.015843225E-1,-4.193924198E-1,-7.831468284E-2,5.859122454E-1
2.704248500E0,1.346942671E-1,-8.046673594E-1,1.586829078E-1,8.311512318E-1
2.714211500E0,-3.002188192E-1,-1.066432294E0,2.308252698E-1,1.131675520E0
2.724173500E0,-8.380512332E-1,-9.599180248E-1,-1.185131210E-1,1.279772575E0
2.734136500E0,-5.390257942E-1,-1.468974938E0,2.773714453E-1,1.589141622E0
2.744098500E0,3.524399002E-1,-1.766484925E0,-4.932477236E-1,1.867612431E0
2.754061500E0,1.044399181E0,-1.885290261E0,3.413037318E-1,2.182103860E0
2.764023500E0,1.899672657E0,-2.120390869E0,1.533829916E-1,2.851024374E0
2.773986500E0,1.991548056E0,-1.808111838E0,-3.118127149E-1,2.707906802E0
2.783948500E0,1.511266534E0,-1.114427994E0,5.564303970E-1,1.958440981E0
2.793911500E0,1.892377379E0,-9.704348268E-1,-7.292355001E-2,2.127945897E0
2.803873500E0,2.399080276E0,-8.532599873E-1,-3.376959997E-1,2.568594434E0
2.813836500E0,2.173538697E0,-2.049249915E-1,5.899103844E-1,2.261472746E0
2.823799500E0,2.218425579E0,-2.657892257E-1,-2.999346811E-1,2.254332889E0
2.833761500E0,2.029221959E0,-3.117452161E-2,-1.143803090E-1,2.032682087E0
2.843724500E0,1.392544228E0,1.822305223E-1,4.872280151E-1,1.486532384E0
2.853686500E0,1.499289389E0,1.546610650E-1,-5.603094399E-1,1.608022197E0
2.863649500E0,1.766261854E0,8.799424403E-1,5.307020634E-1,2.043434441E0
2.873611500E0,6.643979184E-1,6.165834088E-1,-2.943079054E-1,9.530041119E-1
2.883574500E0,-1.912046462E-1,7.357384810E-1,3.223511517E-2,7.608609806E-1
2.893536500E0,2.019441175E-1,5.211428891E-1,8.248667121E-2,5.649560942E-1
2.903499500E0,-4.651247633E-2,4.551305287E-1,-2.113405931E-1,5.039564018E-1
2.913461500E0,9.262130292E-2,1.864536556E-1,1.892094666E-1,2.813252454E-1
2.923424500E0,-8.285730702E-3,-1.111250909E-1,-8.261414051E-2,1.387174660E-1
2.933386500E0,4.597876715E-2,-4.734574568E-2,7.230666876E-2,9.789750257E-2
2.943349500E0,-3.272024678E-2,-3.450507738E-2,-4.998199940E-2,6.898851482E-2
2.953311500E0,2.630650445E-2,-3.718801746E-2,8.219197154E-2,9.397074547E-2
2.963274500E0,-2.580219580E-2,-3.312069425E-2,-2.647736192E-2,4.963652275E-2
2.973236500E0,4.349592975E-3,-5.179580569E-2,8.114707410E-2,9.636686195E-2
2.983199500E0,-2.595678157E-2,-3.060388818E-2,9.598204494E-3,4.126109561E-2
2.993162500E0,1.788205998E-2,-2.846557969E-2,6.153843641E-2,7.012158336E-2
3.003124500E0,-1.920556810E-3,-1.224381376E-2,8.846252561E-3,1.522680854E-2
3.013087500E0,2.473021160E-2,-1.550484248E-2,4.836290538E-2,5.648853090E-2
