"Time (s)","Linear Acceleration x (m/s2)","Linear Acceleration y (m/s2)","Linear Acceleration z (m/s2)","Absolute acceleration (m/s2)"
1.310329875E0,2.523265343E0,1.248782538E-1,1.051767915E-1,2.528542016E0
1.320291875E0,4.223924799E0,3.677483493E-1,-2.532101655E-1,4.247457468E0
1.330254875E0,3.721852165E0,4.830832893E-1,9.858931839E-2,3.754367172E0
1.340216875E0,3.429155753E0,6.653791543E-1,1.155070674E-1,3.495022243E0
1.350179875E0,3.530474259E0,5.699634853E-1,-1.416815436E-1,3.578991552E0
1.360141875E0,2.507234324E0,3.407252229E-1,9.095343947E-2,2.531914327E0
1.370104875E0,1.655143707E0,-3.392205150E-1,7.078288436E-2,1.691029705E0
1.380066875E0,3.064132864E-3,-4.001152826E-2,-2.249599278E-2,4.600414107E-2
1.390029875E0,-5.764433697E-2,1.486566871E-2,-3.116332054E-2,6.719382589E-2
1.399991875E0,9.612331001E-2,-4.360530009E-2,1.081886923E-1,1.511486225E-1
1.409953875E0,-1.893093626E-2,6.799873263E-3,-4.599010527E-2,5.019669717E-2
1.419916875E0,5.527708258E-2,-3.329885161E-2,1.222600168E-1,1.382457272E-1
1.429878875E0,9.628144065E-3,-8.260800093E-3,-2.803447545E-2,3.077131440E-2
1.439841875E0,3.860583935E-2,-2.042755852E-2,6.013451993E-2,7.432265110E-2
1.449803875E0,1.478023084E-2,-2.539072998E-2,-1.217039466E-2,3.180036004E-2
1.459766875E0,2.473218732E-2,-2.138213474E-2,1.223062098E-2,3.490651608E-2
1.469729125E0,3.571636464E-2,-4.617946370E-2,-6.337797046E-3,5.872281705E-2
1.479692125E0,2.888173243E-2,-3.277490454E-2,-6.036665440E-3,4.409977511E-2
1.489654125E0,4.140894428E-2,-3.874622734E-2,1.417014241E-2,5.845309005E-2
1.499617125E0,5.335930091E-2,-2.420796616E-2,3.841035962E-3,5.871962343E-2
1.509579125E0,5.415251683E-2,-3.006711379E-2,2.479745686E-2,6.671911478E-2
1.519542125E0,4.165621755E-2,-3.760218306E-2,1.012913167E-2,5.702423993E-2
1.529504125E0,4.090797495E-2,-3.351552749E-2,2.015710652E-2,5.659560001E-2
1.539467125E0,3.120564433E-2,-3.802073406E-2,2.938810587E-3,4.927479137E-2
1.549429125E0,4.383740258E-2,-1.321183858E-2,3.017455637E-2,5.483406237E-2
1.559391125E0,1.974641728E-2,-2.466742940E-2,3.780224919E-2,4.926878436E-2
1.569354125E0,1.048007882E-2,-1.157377766E-2,3.510142028E-2,3.841736700E-2
1.579316125E0,2.019576666E-2,-2.309478421E-2,-9.931905091E-2,1.039495643E-1
1.589279125E0,-7.157179252E-3,-3.625010580E-2,1.311928082E-1,1.362969123E-1
1.599241125E0,1.516369399E-2,-1.831601931E-2,4.402953386E-3,2.418264206E-2
1.609204125E0,-2.107391339E-3,-1.859884182E-2,2.307159269E-1,2.314739660E-1
1.619166125E0,1.877625457E-2,-2.843422400E-2,-5.668817103E-2,6.614077082E-2
1.629129125E0,-6.147628051E0,-1.183135775E0,-2.191138816E-1,6.264275841E0
1.639091125E0,-1.239304844E1,-2.109721454E0,9.704799235E-2,1.257171399E1
1.649054125E0,-4.142671013E0,3.816269349E-1,1.473784858E-1,4.162821478E0
1.659016125E0,-1.777376972E0,1.149193638E0,3.227136791E-1,2.140994871E0
1.668979125E0,-1.613947295E0,5.614476004E-1,-2.801284075E-1,1.731623863E0
1.678941125E0,-9.846954549E-1,-2.813008839E-1,-2.302306080E-1,1.049648255E0
1.688904125E0,-1.092202874E0,-7.716140726E-1,3.725278634E-1,1.388190334E0
1.698866125E0,-5.212072085E-1,-1.212558745E0,-1.662006730E-1,1.330254986E0
1.708828125E0,-1.494419828E0,-1.700114642E0,2.648186427E-1,2.278993052E0
1.718791125E0,-8.765601184E-1,-2.090065746E0,4.937213480E-2,2.266973770E0
1.728753125E0,6.087483956E-1,-2.701279145E0,-1.389228272E-1,2.772504857E0
1.738716125E0,1.049901411E0,-3.196366988E0,2.537527871E-1,3.373936184E0
1.748678125E0,1.145190342E0,-3.818217203E0,-8.489923239E-2,3.987160820E0
1.758641125E0,1.375619755E0,-4.111403028E0,6.177174032E-2,4.335871344E0
1.768603125E0,1.273268192E0,-3.976017181E0,4.157627606E-1,4.195567088E0
1.778566125E0,-3.236262467E-1,-3.242233717E0,-1.382866502E-1,3.261278372E0
1.788528125E0,-6.906292588E-1,-2.622068669E0,2.112341738E-1,2.719711888E0
1.798491125E0,3.462752904E-1,-2.397841398E0,2.108915269E-2,2.422807193E0
1.808453125E0,1.720590897E-1,-2.028510061E0,-1.274348027E-1,2.039778671E0
1.818416125E0,-9.579244897E-2,-2.017173041E0,1.307109976E-1,2.023672067E0
1.828378125E0,-1.040213543E-1,-2.094297376E0,2.781520486E-2,2.097063573E0
1.838341125E0,3.496610475E-1,-2.094516208E0,2.649075204E-1,2.139961913E0
1.848303125E0,5.656988917E-1,-2.427129077E0,1.443297476E-1,2.496357721E0
1.858265125E0,1.360358376E0,-3.167809187E0,-4.986885577E-1,3.483429378E0
1.868228125E0,1.573062394E0,-3.177007734E0,2.987541282E-1,3.557689906E0
1.878190125E0,1.704866090E0,-3.268563729E0,3.628863895E-1,3.704289914E0
1.888153125E0,1.978153840E0,-2.866975204E0,1.732734650E-1,3.487500986E0
1.898115125E0,2.052528376E0,-2.321094646E0,-1.604990530E-1,3.102597788E0
1.908078125E0,1.219181301E0,-1.651899379E0,-3.530841172E-2,2.053392629E0
1.918040125E0,7.684794534E-1,-1.510640297E0,2.614179021E-1,1.714915186E0
1.928003125E0,9.498961164E-1,-1.560169868E0,-5.393354774E-2,1.827386515E0
1.937965125E0,6.149945010E-1,-1.550635106E0,1.875494421E-1,1.678648939E0
1.947928125E0,3.808760428E-1,-1.845853423E0,1.588524771E-1,1.891421563E0
1.957890125E0,-1.346398057E-1,-2.117570757E0,-1.598008955E-1,2.127855755E0
1.967853125E0,-4.486866778E-1,-2.043394733E0,1.253643036E-2,2.092113508E0
1.977815125E0,5.553802371E-1,-1.902420702E0,3.311149585E-1,2.009300588E0
1.987777125E0,1.288111641E0,-1.959618020E0,-5.262453157E-1,2.403386884E0
1.997740125E0,5.727503048E-1,-1.368088249E0,6.051529062E-1,1.601848435E0
2.007702125E0,6.898102831E-1,-1.461370927E0,-2.625323814E-1,1.637182477E0
2.017665125E0,8.605405017E-1,-1.230420673E0,-1.459289610E-2,1.501558504E0
2.027627125E0,1.395848344E0,-1.035359751E0,1.330533922E-2,1.737969921E0
2.037590125E0,2.058926692E0,-9.749373291E-1,2.989862627E-1,2.297623708E0
2.047552125E0,2.642863122E0,-1.190327265E0,-1.570316541E-1,2.902802684E0
2.057515125E0,2.773531727E0,-9.782983086E-1,2.837437409E-1,2.954666874E0
2.067477125E0,3.295053662E0,-1.005386193E0,1.193334854E-1,3.447088701E0
2.077440125E0,3.574644126E0,-9.013135750E-1,-3.302238429E-1,3.701282828E0
2.087402125E0,3.269717969E0,-4.607986003E-1,3.369054562E-1,3.319171016E0
2.097365125E0,3.286064445E0,-3.994244341E-1,-1.819507331E-1,3.315247425E0
2.107327125E0,3.016090313E0,9.321950963E-2,1.648511356E-1,3.022030203E0
2.117290125E0,2.572887446E0,4.360052731E-1,1.708673358E-2,2.609624947E0
2.127252125E0,2.245827385E0,5.599373012E-1,-1.263361108E-1,2.318023132E0
2.137214125E0,1.832606702E0,8.908082481E-1,7.452861071E-2,2.039004946E0
2.147177125E0,1.075241563E0,8.994274094E-1,-1.145323366E-1,1.406496263E0
2.157139125E0,1.144603610E-1,9.445413825E-1,9.172761083E-2,9.558627266E-1
2.167102125E0,1.433946042E-2,5.422573676E-1,-1.485338956E-1,5.624153189E-1
2.177064125E0,2.259354992E-1,4.444095492E-1,1.475422078E-1,5.199186478E-1
2.187027125E0,9.093981729E-2,3.631580658E-1,-8.628736138E-2,3.841865951E-1
2.196989125E0,1.080542429E-1,5.934881495E-1,-4.662628233E-2,6.050437283E-1
2.206952125E0,1.849294144E-1,4.919347313E-1,1.234113336E-1,5.398416670E-1
2.216914125E0,8.411572376E-2,3.518279891E-1,-3.751515090E-2,3.636836200E-1
2.226877125E0,1.132053567E-1,5.247293885E-1,4.766123950E-2,5.389137015E-1
2.236839125E0,1.361398815E-1,2.940582476E-1,1.045382756E-1,3.404887243E-1
2.246802125E0,7.200274602E-2,3.780050965E-1,-1.099662459E-1,4.002059765E-1
2.256764125E0,1.380843548E-1,2.431161902E-1,9.555578291E-2,2.954719591E-1
2.266727125E0,8.150558151E-2,-1.812659693E-2,2.849699020E-2,8.822591334E-2
2.276689125E0,9.026765244E-2,2.515473087E-2,1.015468401E-1,1.381765910E-1
2.286651125E0,6.405423749E-2,1.724866491E-2,4.101237059E-3,6.646263557E-2
