"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.485493000E0,-2.134538256E-2,-5.725004524E-2,6.821056828E-3,6.147942626E-2
1.495456000E0,1.685933210E-2,4.033721238E-2,1.835585758E-2,4.741587592E-2
1.505419000E0,-1.220507547E-2,-3.420253471E-2,6.707918644E-2,7.627840127E-2
1.515381000E0,5.452285055E-3,1.820819080E-2,1.915826201E-1,1.925231570E-1
1.525344000E0,1.584473811E-2,5.156668276E-2,5.816518068E-1,5.841481001E-1
1.535307000E0,-1.023396663E-2,-7.127919234E-3,1.420032024E0,1.420086790E0
1.545270000E0,1.912259124E-2,9.537528455E-2,2.332306385E0,2.334333993E0
1.555233000E0,-6.544492207E-3,4.866345972E-2,3.168711901E0,3.169092310E0
1.565196000E0,7.573990151E-3,1.025549173E-1,3.803663254E0,3.805053091E0
1.575160125E0,-7.470894139E-3,5.649775267E-2,4.224274635E0,4.224659040E0
1.585122125E0,2.911549527E-4,1.060322821E-1,4.457381248E0,4.458642229E0
1.595085125E0,-4.924526438E-3,9.929613024E-2,4.684348106E0,4.685402987E0
1.605048125E0,-9.500369430E-3,9.509979188E-2,4.890187740E0,4.891121585E0
1.615011125E0,1.567415521E-2,1.620756537E-1,5.078927994E0,5.081537539E0
1.624974125E0,-2.046866901E-2,6.508837640E-2,5.152381420E0,5.152833178E0
1.634937125E0,-2.919089980E-3,1.262968183E-1,5.219099045E0,5.220627764E0
1.644899125E0,1.142496243E-2,1.692035496E-1,5.236141205E0,5.238886818E0
1.654862125E0,-2.155400999E-2,5.910466611E-2,5.122955799E0,5.123342079E0
1.664825125E0,2.289803233E-3,1.186311170E-1,4.995466232E0,4.996875170E0
1.674788125E0,-7.309706416E-3,9.636876732E-2,4.882104874E0,4.883061373E0
1.684751125E0,-8.276700974E-3,9.442786127E-2,4.761497021E0,4.762440446E0
1.694714125E0,-3.632865846E-3,1.061259657E-1,4.698972702E0,4.700172377E0
1.704677125E0,1.232995884E-3,1.270221919E-1,4.678264618E0,4.679988888E0
1.714639125E0,-3.201706335E-3,9.329648316E-2,4.594728947E0,4.595677162E0
1.724602125E0,-1.323676389E-2,7.615477592E-2,4.593238354E0,4.593888694E0
1.734565125E0,-6.870666519E-3,7.816009969E-2,4.619280338E0,4.619946650E0
1.744528125E0,1.564875618E-2,1.420855522E-1,4.642139912E0,4.644340227E0
1.754491125E0,-8.480113000E-3,7.211990654E-2,4.686189651E0,4.686752249E0
1.764454125E0,-1.318606548E-3,9.442654252E-2,4.834253311E0,4.835175611E0
1.774416125E0,1.369370893E-2,1.414257139E-1,5.047010899E0,5.049010572E0
1.784379125E0,-8.786832914E-3,8.642744273E-2,5.169314384E0,5.170044305E0
1.794342125E0,4.053066950E-4,1.002365723E-1,5.270549774E0,5.271502865E0
1.804305125E0,5.737754051E-3,1.176384613E-1,5.298700333E0,5.300009146E0
1.814268125E0,9.875899181E-3,1.368792951E-1,5.355734825E0,5.357492790E0
1.824231125E0,1.039947756E-2,1.217043474E-1,5.431660652E0,5.433033916E0
1.834194125E0,3.851956455E-3,9.832075983E-2,5.494679928E0,5.495560874E0
1.844156125E0,-2.555076499E-3,9.058853984E-2,5.493255138E0,5.494002624E0
1.854119125E0,1.387514733E-2,1.454470456E-1,5.449963093E0,5.451921228E0
1.864082125E0,3.937828820E-3,1.021855995E-1,5.440578461E0,5.441539432E0
1.874045125E0,4.380655941E-3,1.110019311E-1,5.374963284E0,5.376111133E0
1.884008125E0,5.205703434E-3,1.089824587E-1,5.326328278E0,5.327445654E0
1.893971125E0,-3.499371000E-3,8.906387538E-2,5.399133682E0,5.399869363E0
1.903933125E0,-1.951455697E-2,4.703307524E-2,5.431775570E0,5.432014246E0
1.913896125E0,8.370701224E-3,1.056398004E-1,5.443092823E0,5.444124293E0
1.923859125E0,2.414939925E-2,1.516302079E-1,5.433751106E0,5.435919977E0
1.933822125E0,7.322748192E-3,1.320935190E-1,5.341090679E0,5.342728887E0
1.943785125E0,8.605060168E-3,1.474857926E-1,5.317753792E0,5.319805588E0
1.953748125E0,6.315765437E-3,1.352106482E-1,5.287773609E0,5.289505794E0
1.963711125E0,-9.863205254E-3,1.089516208E-1,5.246656418E0,5.247796805E0
1.973673125E0,7.093808148E-3,1.514798850E-1,5.260425091E0,5.262610437E0
1.983636125E0,4.522792529E-3,1.223081648E-1,5.248184204E0,5.249611146E0
