"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.733138708E0,-5.858572042E-3,-2.800757825E-2,-2.150255084E-2,3.579255507E-2
1.743100708E0,9.595036490E-3,7.579745650E-3,-9.273099303E-2,9.353370696E-2
1.753062708E0,6.344356891E-3,3.610363305E-2,-1.236119661E-1,1.289327009E-1
1.763025708E0,-1.372603268E-2,1.316325188E-2,1.229727924E-2,2.264725700E-2
1.772987708E0,-9.355439977E-3,3.701930702E-2,7.089880541E-2,8.052697658E-2
1.782949708E0,2.790112238E-2,2.822450995E-2,-1.688383520E-2,4.312956623E-2
1.792911708E0,1.410281264E-2,3.439741552E-2,1.181196034E-2,3.900761369E-2
1.802873708E0,-4.945504193E-3,1.983141661E-2,1.174479045E-1,1.192130587E-1
1.812835708E0,2.598531872E-2,4.247358978E-2,5.826808870E-2,7.664471788E-2
1.822797708E0,1.929808430E-2,-2.215626955E-2,-2.812861562E-2,4.067598007E-2
1.832759708E0,1.427664625E-2,-1.312115192E-3,2.826427102E-2,3.169248003E-2
1.842721708E0,1.452688195E-3,-2.581955016E-2,5.543818250E-2,6.117312770E-2
1.852683708E0,3.699191418E-2,1.150732040E-2,1.706860721E-2,4.233388111E-2
1.862645708E0,5.564893351E-3,6.939475536E-3,1.791396841E-2,2.000086556E-2
1.872608708E0,5.192569611E-3,-2.878701210E-2,9.096389137E-2,9.555147502E-2
1.882570708E0,2.311407774E-2,-1.202479899E-2,1.128459996E-1,1.158148350E-1
1.892532708E0,-1.223791630E-2,-2.370461226E-3,1.053042608E-1,1.060394881E-1
1.902494708E0,-1.668836689E-2,3.701755285E-2,3.762800217E-2,5.535943782E-2
1.912456708E0,-7.477396536E-3,1.460809886E-2,-2.681766987E-2,3.144034714E-2
1.922418708E0,-5.953644114E-3,1.675461173E-2,3.036261745E-2,3.518595502E-2
1.932380708E0,-6.313366648E-3,3.725845814E-3,6.112328410E-2,6.156132215E-2
1.942342708E0,2.088705830E-2,2.196565032E-2,-3.309377879E-3,3.049116233E-2
1.952304708E0,2.095082493E-3,4.561705291E-2,-4.595136747E-2,6.478296890E-2
1.962267708E0,6.271214162E-3,3.546277821E-2,-1.246904120E-2,3.811054649E-2
1.972229708E0,2.553655406E-2,3.296484768E-2,-3.981369138E-2,5.765350637E-2
1.982191708E0,1.865130459E-2,1.883914411E-2,-3.631245174E-2,4.495974494E-2
1.992153708E0,1.206040990E-2,5.179463625E-3,-1.051862933E-2,1.682028220E-2
2.002115708E0,-4.754243139E-4,5.315703750E-3,-1.159678280E-2,1.276589621E-2
2.012077708E0,2.286672681E-2,7.711308002E-3,1.938702822E-2,3.095494030E-2
2.022039708E0,1.658209146E-2,-7.192075253E-4,1.065017706E-1,1.077873377E-1
2.032001708E0,2.027091252E-2,-1.716508627E-2,1.118823785E-1,1.149922462E-1
2.041963708E0,1.424607627E-2,-2.317076147E-2,5.685006581E-2,6.302193951E-2
2.051925708E0,6.618191593E-3,-6.760550737E-3,4.721392751E-2,4.815247093E-2
2.061887708E0,-9.860536626E-3,6.311484575E-3,6.659445070E-2,6.761572216E-2
2.071850708E0,-1.620476104E-2,5.881129503E-3,5.527562991E-2,5.790144408E-2
2.081812708E0,-1.732388842E-2,7.958060503E-4,3.870951779E-2,4.241670880E-2
2.091774708E0,6.682846723E-3,8.861455321E-3,2.176158249E-2,2.442851415E-2
2.101736708E0,-1.950747629E-3,2.545176029E-2,3.288284048E-2,4.162785986E-2
2.111698708E0,4.775128663E-3,2.642941475E-2,2.571430027E-2,3.718253698E-2
2.121660708E0,1.658667559E-2,4.358689964E-2,-2.571437337E-2,5.325565345E-2
2.131622708E0,1.355877719E-2,1.662363410E-2,-4.276536584E-2,4.784414452E-2
2.141584708E0,3.383998172E-2,2.220246255E-2,-6.965495646E-2,8.055995696E-2
2.151546708E0,3.453884962E-2,1.645991206E-3,-6.897032060E-2,7.715274812E-2
2.161508708E0,1.905478074E-2,1.901163697E-2,-5.769761972E-2,6.366743541E-2
