"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.992851750E0,-3.438747721E-3,2.506533638E-4,-3.454769030E-4,3.465135969E-3
2.002813750E0,-7.159316447E-4,-8.931743214E-4,2.979428973E-4,1.182830697E-3
2.012776750E0,1.057633385E-2,-1.926789060E-3,-1.687993295E-3,1.088212641E-2
2.022738750E0,2.416777611E-2,-2.044234425E-3,5.487957969E-4,2.426028593E-2
2.032701750E0,3.731154278E-2,-9.625332896E-4,4.089619033E-4,3.732619649E-2
2.042663750E0,4.502938315E-2,-3.867577761E-4,4.973788746E-4,4.503379081E-2
2.052626750E0,4.574787617E-2,2.181077143E-3,-3.280758392E-4,4.580101424E-2
2.062588750E0,3.680710867E-2,8.457682561E-4,2.312714700E-3,3.688939173E-2
2.072551750E0,1.948500425E-2,-5.768402480E-5,-8.875201456E-5,1.948529176E-2
2.082513750E0,-1.840377226E-4,-4.223757423E-5,1.338882139E-4,2.314734323E-4
2.092476750E0,-1.899081841E-2,-1.436691615E-3,-1.801991835E-3,1.913014483E-2
2.102438750E0,-3.118117154E-2,3.401695285E-4,2.574913437E-3,3.128915711E-2
2.112401750E0,-3.669977561E-2,1.105033094E-3,1.735343947E-3,3.675739444E-2
2.122363750E0,-3.663159907E-2,8.397712372E-5,-1.939818263E-3,3.668302056E-2
2.132325750E0,-2.334484830E-2,1.955327112E-3,-8.711130358E-4,2.344278321E-2
2.142288750E0,-1.282422803E-3,-4.929169081E-4,1.824335195E-4,1.385949968E-3
2.152250750E0,1.705623791E-2,-2.116205636E-3,-8.589543868E-4,1.720846828E-2
2.162213750E0,2.974380367E-2,-1.918865368E-3,-5.702679045E-4,2.981109032E-2
2.172175750E0,3.497831896E-2,-2.530142432E-3,-4.179405514E-4,3.507219828E-2
2.182138750E0,3.177906200E-2,-1.274386887E-4,-1.033929642E-3,3.179613236E-2
2.192100750E0,2.436524630E-2,3.305370919E-4,4.054289311E-4,2.437086077E-2
2.202063750E0,1.291205641E-2,1.244534040E-3,2.011643955E-4,1.297345493E-2
2.212025750E0,-2.505197888E-3,4.925802350E-4,-3.670365550E-4,2.579412255E-3
2.221988750E0,-1.339992322E-2,2.195139183E-3,-1.596351853E-3,1.367204877E-2
2.231950750E0,-1.929515786E-2,2.414416522E-3,-2.436270006E-5,1.944564521E-2
2.241913750E0,-2.224860340E-2,1.635974739E-3,-1.079240814E-3,2.233476052E-2
2.251875750E0,-2.347635850E-2,1.505791908E-3,1.491168980E-3,2.357181374E-2
2.261838750E0,-1.940465160E-2,1.640281407E-3,7.697186666E-4,1.948906087E-2
2.271800750E0,-1.761543192E-2,3.482638858E-4,-1.208947273E-3,1.766030246E-2
2.281762750E0,-1.847749762E-2,-1.824342879E-3,8.188700303E-5,1.856752140E-2
2.291725750E0,-2.073339932E-2,-8.254696149E-4,1.461282372E-4,2.075033977E-2
2.301687750E0,-1.845852658E-2,-4.699376877E-4,4.348149523E-4,1.846962666E-2
2.311650750E0,-6.881182548E-3,3.955699503E-5,3.466266207E-5,6.881383546E-3
2.321612750E0,9.206441231E-3,2.118130215E-5,5.800779909E-4,9.224722178E-3
2.331575750E0,2.166267112E-2,8.169987705E-4,-8.849275764E-4,2.169612647E-2
2.341537750E0,2.911233157E-2,-2.093834337E-4,-1.227308530E-4,2.911334322E-2
2.351500750E0,2.783421054E-2,-8.994922973E-5,-1.094262581E-3,2.785585716E-2
2.361462750E0,2.233851142E-2,4.322966561E-4,1.046918798E-3,2.236720841E-2
2.371425750E0,7.150336169E-3,1.475682016E-3,1.194316079E-3,7.398062965E-3
2.381387750E0,-7.264023647E-3,3.251964226E-4,1.309157815E-4,7.272477652E-3
2.391350750E0,-1.919903979E-2,1.581125893E-3,-4.241610877E-4,1.926870521E-2
2.401312750E0,-2.693392523E-2,6.692595780E-4,1.958229113E-4,2.694295053E-2
2.411275750E0,-2.774785459E-2,1.122334506E-4,6.621371722E-4,2.775598055E-2
2.421237750E0,-2.068035677E-2,-5.967000034E-4,-5.025835708E-5,2.068902446E-2
2.431199750E0,-9.511844255E-3,9.661952499E-4,2.635925775E-4,9.564423424E-3
2.441162750E0,1.259843586E-3,-9.800428525E-4,-1.654427033E-4,1.604699705E-3
2.451124750E0,1.360385306E-2,-5.260526668E-4,-6.133299321E-4,1.362782900E-2
2.461087750E0,2.071182989E-2,2.726293169E-4,-1.301757060E-3,2.075448856E-2
2.471049750E0,2.246989869E-2,3.003338352E-4,8.974862285E-4,2.248982056E-2
2.481012750E0,1.517976262E-2,6.308322772E-4,-4.980014637E-5,1.519294647E-2
2.490974750E0,8.576687425E-3,4.416694865E-4,1.334801782E-4,8.589089363E-3
2.500937750E0,-6.146803498E-4,1.451806398E-3,-6.236564368E-4,1.695441270E-3
2.510899750E0,-6.006432697E-3,1.059382455E-3,-2.757692710E-5,6.099203671E-3
2.520862750E0,-8.463464677E-3,1.636489527E-3,-1.541850390E-3,8.757033456E-3
2.530824750E0,-5.830205977E-3,2.610779135E-3,-3.675268963E-4,6.398636217E-3
2.540787750E0,-7.600793615E-4,-1.088351477E-3,-7.537798956E-5,1.329628299E-3
2.550749750E0,4.886088427E-3,-5.059435498E-4,-1.760472078E-4,4.915366885E-3
2.560711750E0,8.390275761E-3,-8.108755574E-4,-3.158631735E-4,8.435283994E-3
2.570674750E0,7.774782367E-3,-1.658559777E-4,4.089856520E-4,7.787298525E-3
2.580636750E0,5.123871844E-3,-1.449233270E-3,5.229689414E-4,5.350498693E-3
2.590599750E0,1.087771961E-3,-5.394093459E-4,3.416638356E-4,1.261326468E-3
2.600561750E0,-3.708847566E-3,-7.522036321E-5,2.447247971E-4,3.717673815E-3
2.610524750E0,-1.073377207E-2,3.347361227E-3,1.149600488E-3,1.130222418E-2
2.620486750E0,-1.362356823E-2,1.747067785E-3,-7.545365952E-5,1.373533947E-2
2.630449750E0,-1.012742147E-2,-5.696783774E-5,2.256229054E-4,1.013009460E-2
2.640411750E0,-5.687399767E-3,-6.902674213E-4,-1.038845861E-3,5.822558368E-3
2.650374750E0,2.524775453E-3,-1.387188910E-3,1.916638575E-4,2.887129923E-3
2.660336750E0,6.121108308E-3,-1.983204391E-3,1.574377064E-3,6.624177664E-3
2.670299750E0,8.759425953E-3,-1.079034759E-3,-3.908968065E-4,8.834288842E-3
2.680261750E0,4.711954389E-3,1.046700403E-3,8.027320728E-4,4.893104809E-3
2.690224750E0,-4.747943021E-4,1.342112664E-4,-5.674592685E-4,7.519656340E-4
2.700186750E0,-4.461280070E-3,-1.246637665E-3,2.514627995E-4,4.639004082E-3
2.710148750E0,-6.755176932E-3,6.372937933E-4,1.318323892E-3,6.912057338E-3
2.720111750E0,-8.865199983E-3,-1.222398132E-4,4.549270961E-4,8.877706459E-3
2.730073750E0,-5.003850441E-3,2.962579019E-4,-6.583333015E-4,5.055659277E-3
2.740036750E0,1.779220765E-3,1.129973680E-5,8.956212550E-4,1.991956739E-3
2.749998750E0,8.677860722E-3,2.445822116E-3,-1.059995964E-3,9.078045163E-3
2.759961750E0,1.373387128E-2,6.074418779E-4,-2.970003989E-4,1.375050600E-2
2.769923750E0,1.477656420E-2,-3.210525028E-5,3.737751395E-4,1.478132566E-2
2.779886750E0,1.139781158E-2,3.386067692E-4,2.584602917E-4,1.140576894E-2
2.789848750E0,6.564763375E-3,1.111406367E-3,-2.691694535E-4,6.663617221E-3
2.799811750E0,3.289715387E-4,2.376674209E-3,2.487202175E-3,3.455861286E-3
2.809773750E0,-3.374939552E-3,1.413789578E-3,-2.592452569E-3,4.484398317E-3
2.819736750E0,-3.041512100E-3,1.866260776E-3,8.278451860E-4,3.663202532E-3
2.829699417E0,-2.363157459E-3,4.358896986E-4,6.688522408E-4,2.494368923E-3
2.839662417E0,5.434167106E-4,-9.103381308E-4,-1.610014588E-3,1.927735512E-3
2.849624417E0,3.033169080E-3,-5.238706945E-4,-2.891574986E-4,3.091628572E-3
2.859586417E0,4.571943544E-3,-4.788632505E-4,7.441488560E-4,4.656794531E-3
2.869549417E0,1.636391506E-3,-1.482223161E-5,-2.700800309E-3,3.157897903E-3
2.879511417E0,-3.861970967E-3,-1.439854968E-4,1.182621112E-3,4.041552210E-3
