"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.137578667E0,-2.352635376E-3,8.752825670E-4,-1.856402960E-4,2.517036969E-3
1.147540667E0,-2.438655123E-3,-4.413842689E-4,-4.191994667E-4,2.513481067E-3
1.157503667E0,-1.096232329E-3,-1.744454843E-3,1.556493808E-4,2.066173939E-3
1.167465667E0,1.399682136E-3,6.662386004E-4,7.841771003E-5,1.552138297E-3
1.177428667E0,-1.912382431E-4,-2.950804774E-4,1.735301223E-3,1.770569086E-3
1.187390667E0,2.107069828E-3,-4.649902694E-4,-1.635327935E-4,2.163955218E-3
1.197353667E0,1.638891408E-3,-1.823504339E-3,1.118923188E-3,2.695018038E-3
1.207315667E0,3.927878570E-3,1.101978123E-3,-2.704843413E-3,4.894769017E-3
1.217278667E0,4.206455313E-3,-2.344611334E-3,1.047748141E-3,4.928411993E-3
1.227240667E0,7.684810087E-3,-1.479084021E-3,-1.583974808E-4,7.827457146E-3
1.237203667E0,2.414680552E-3,1.668567304E-3,1.016153954E-3,3.106021228E-3
1.247165667E0,4.849541001E-4,3.955760039E-4,5.282628117E-4,8.189764663E-4
1.257128667E0,-1.248734305E-3,7.444212679E-4,9.198087500E-4,1.720333841E-3
1.267091667E0,-1.712656813E-3,-1.943240874E-3,1.147242729E-3,2.832939168E-3
1.277053667E0,9.258550126E-4,2.863116097E-3,1.053125598E-3,3.188058157E-3
1.287016667E0,6.884988397E-5,-3.261887934E-3,1.564392587E-4,3.266362877E-3
1.296978667E0,3.506429726E-3,1.980682602E-3,-1.566935563E-3,4.321277595E-3
1.306941667E0,1.662930008E-4,-1.826838707E-3,-1.793037867E-3,2.565146743E-3
1.316903667E0,1.802302431E-4,-1.018936397E-3,7.193285273E-4,1.260217382E-3
1.326866667E0,-1.790242502E-3,-2.100179903E-3,-6.681785453E-4,2.839398953E-3
1.336828667E0,1.031110995E-3,4.147638101E-4,-2.469173633E-4,1.138502124E-3
1.346791667E0,-5.084625445E-4,8.115747478E-4,1.858311472E-3,2.090576298E-3
1.356753667E0,-1.359462505E-3,-1.289485255E-3,3.120290348E-4,1.899545379E-3
1.366716667E0,1.231526956E-3,2.270628465E-3,2.254763385E-4,2.592923418E-3
1.376678667E0,-1.074445201E-3,-2.057110891E-3,-2.130728681E-4,2.330565973E-3
1.386641667E0,6.001505535E-4,8.327164687E-5,4.790825769E-4,7.724214974E-4
1.396603667E0,-6.415927783E-4,-1.953358296E-3,2.616224810E-5,2.056194152E-3
1.406566667E0,4.002356436E-4,3.287476255E-3,-6.947554648E-4,3.383840104E-3
1.416528667E0,-6.529553793E-4,-2.021939028E-3,-1.077109482E-4,2.127484385E-3
1.426491667E0,2.028847579E-3,9.805087466E-4,-3.615103196E-4,2.282172126E-3
1.436453667E0,1.455557765E-3,-5.684387870E-4,3.084472381E-3,3.457707467E-3
1.446416667E0,3.518176032E-3,9.908420034E-4,-6.266424898E-4,3.708370434E-3
1.456378667E0,1.314144349E-3,8.254058193E-4,-3.916560672E-5,1.552354367E-3
1.466341667E0,1.047828235E-3,4.198064562E-4,-7.321201265E-4,1.345429801E-3
1.476303667E0,-5.609281361E-4,-2.172848443E-3,-6.276220083E-4,2.330197441E-3
1.486266667E0,-1.222457737E-3,1.010427950E-3,3.540191101E-4,1.625022182E-3
1.496228667E0,-1.198489219E-3,2.434463240E-3,-3.826010507E-4,2.740323200E-3
1.506191667E0,-2.728475258E-3,-1.529918052E-3,-9.788828902E-4,3.277718443E-3
1.516153667E0,-1.758758910E-3,-1.667796168E-4,-1.391871367E-3,2.249078533E-3
1.526116667E0,-1.110279467E-3,-9.276446654E-4,1.535610063E-4,1.454931649E-3
1.536078667E0,-1.471314812E-3,-1.021678559E-3,2.719216282E-4,1.811776953E-3
1.546041667E0,2.022486180E-3,1.342675881E-3,1.251964830E-3,2.731418094E-3
1.556004667E0,3.109315876E-4,-1.589242369E-3,7.904500235E-4,1.801993618E-3
1.565966667E0,4.383170977E-3,2.555168699E-3,-4.295441322E-4,5.091717103E-3
1.575929667E0,2.527273726E-3,1.438873122E-3,7.367341314E-4,3.000040921E-3
1.585891917E0,2.225004835E-3,1.608782681E-3,-1.363967312E-3,3.065817193E-3
1.595854917E0,-5.446537398E-4,-8.971585194E-4,-1.862702891E-3,2.138037223E-3
1.605816917E0,2.765655518E-3,-3.937423229E-3,-2.128220163E-3,5.261318579E-3
1.615779917E0,3.308112500E-3,6.607048213E-3,3.810076742E-4,7.398774308E-3
1.625741917E0,-4.613259807E-4,-2.825336065E-3,1.384753035E-3,3.180076494E-3
1.635704917E0,2.037843224E-3,-8.920121472E-4,2.728416584E-3,3.520333469E-3
1.645666917E0,1.589366933E-3,2.614029218E-4,-8.346266113E-4,1.814116952E-3
1.655629917E0,-6.972299889E-5,6.014676765E-4,-1.915477449E-3,2.008899828E-3
1.665591917E0,-2.486008918E-3,-2.406039974E-3,5.404896801E-4,3.501627877E-3
1.675554917E0,-1.138952328E-3,2.105068415E-4,5.801934749E-4,1.295434292E-3
1.685516917E0,-1.658268971E-3,-2.760528587E-4,-1.188863534E-4,1.685287847E-3
1.695479917E0,-1.286255196E-3,-1.909793355E-4,-7.862462662E-4,1.519575180E-3
1.705441917E0,-1.213018317E-3,-7.020400371E-4,3.001256846E-5,1.401846784E-3
1.715404917E0,7.636845112E-7,1.008218853E-3,4.305816256E-4,1.096314907E-3
1.725366917E0,-1.158510335E-3,-9.731730679E-4,-1.123687252E-5,1.513055942E-3
1.735329917E0,1.183560584E-3,1.975009684E-3,-4.977076314E-4,2.355672259E-3
1.745291917E0,8.647802752E-4,-1.077239169E-3,-8.899914101E-4,1.643281431E-3
