"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.514978917E0,1.212041810E-2,-1.256875450E-2,2.297429502E-2,2.885647858E-2
1.524940917E0,1.873202243E-2,-1.846706020E-2,2.147916198E-2,3.395990836E-2
1.534902917E0,1.334222921E-2,-1.385132298E-2,2.133005798E-2,2.872012538E-2
1.544864917E0,1.395332377E-2,-5.131461639E-3,1.175290346E-2,1.895146123E-2
1.554826917E0,1.250456874E-2,-3.734397367E-3,-3.966166377E-3,1.363966418E-2
1.564788917E0,-2.489188254E-3,3.032110222E-3,2.237846375E-2,2.271971369E-2
1.574750917E0,7.564290500E-3,-4.136174172E-3,2.881449401E-2,3.007659377E-2
1.584712917E0,1.191192374E-2,-1.813714933E-3,2.477114439E-2,2.754619908E-2
1.594674917E0,3.636554719E-3,-4.764768127E-3,9.950791597E-3,1.161661736E-2
1.604636917E0,5.593247779E-3,-1.480350550E-3,1.683647275E-2,1.780288384E-2
1.614598917E0,2.140332176E-2,1.688346975E-3,2.282343686E-2,3.133467676E-2
1.624560917E0,1.184738967E-2,-4.036406055E-5,2.102541804E-2,2.413359640E-2
1.634522917E0,-1.625221028E-3,-1.054090356E-2,2.087631404E-2,2.344296226E-2
1.644484917E0,1.441179687E-2,-8.276496213E-3,9.798763990E-3,1.929290166E-2
1.654446917E0,-7.736711414E-5,-6.632496715E-3,1.174471736E-2,1.348830546E-2
1.664408917E0,4.142263499E-3,-4.725737963E-3,1.997876644E-2,2.094378320E-2
1.674370917E0,-3.515394016E-3,-1.311786287E-3,1.982966244E-2,2.018153341E-2
1.684332917E0,9.022677446E-3,-2.112270109E-2,8.006007671E-3,2.432433696E-2
1.694294917E0,3.174803982E-3,-1.424820274E-2,5.610988140E-3,1.563885704E-2
1.704256917E0,4.867706532E-3,-2.057361100E-2,1.070157409E-2,2.369581660E-2
1.714218917E0,1.596368217E-2,-1.403993223E-2,1.923500061E-2,2.866956738E-2
1.724180917E0,6.415922471E-3,-2.959824018E-3,1.743873596E-2,1.881579473E-2
1.734142917E0,1.934742247E-2,-4.629880171E-3,2.761815369E-2,3.403705275E-2
1.744104917E0,1.055243354E-2,-5.887597986E-3,2.013547182E-2,2.348307665E-2
1.754066917E0,1.371331384E-2,1.761638168E-3,3.555282533E-2,3.814658221E-2
1.764028917E0,1.032161128E-2,-3.754935712E-3,2.851687074E-2,3.055891226E-2
1.773990917E0,2.413128998E-2,8.234578986E-3,2.357655823E-2,3.472724500E-2
1.783952917E0,9.934122465E-3,5.628493242E-4,3.196029603E-2,3.347333433E-2
1.793913917E0,-1.255535387E-3,-4.661144502E-4,2.282869935E-2,2.286795019E-2
1.803875917E0,1.265378580E-3,-1.057505496E-3,4.266713262E-3,4.574313378E-3
1.813837917E0,1.038250569E-2,-1.072129017E-2,9.504064322E-3,1.769377647E-2
1.823799917E0,1.303769777E-2,-1.346378049E-2,2.210247517E-4,1.874310007E-2
1.833761917E0,-1.548330142E-3,-7.335076220E-3,1.039985776E-2,1.282020713E-2
1.843723917E0,8.558085328E-3,-1.266207241E-2,1.294339657E-2,2.002749153E-2
1.853685917E0,-2.803907784E-3,3.203945272E-3,6.656470299E-3,7.901630275E-3
1.863647917E0,1.487062172E-2,-2.149251921E-2,1.249433041E-2,2.896846673E-2
1.873609917E0,1.021398254E-2,2.750164792E-3,9.949622154E-3,1.452183965E-2
1.883571917E0,7.582263836E-3,8.273810148E-5,2.087631404E-2,2.221076447E-2
1.893533917E0,7.543994266E-3,-2.611001059E-3,1.668502986E-2,1.849646987E-2
1.903495917E0,1.656887355E-2,2.580650356E-3,1.459055722E-2,2.222772339E-2
1.913457917E0,1.293735292E-2,1.150998820E-2,2.357363462E-2,2.925014835E-2
1.923419917E0,1.290870271E-2,1.384324651E-2,1.489285827E-2,2.408458650E-2
1.933381917E0,4.520686845E-3,1.088921489E-2,1.444320738E-2,1.864451260E-2
1.943343917E0,6.738598554E-3,-9.140294418E-4,8.754451275E-3,1.108533163E-2
1.953305917E0,1.404990676E-2,-1.082080247E-2,1.773635924E-2,2.508122973E-2
1.963267917E0,6.768275457E-3,-9.617664758E-3,-1.573485732E-3,1.186528067E-2
1.973229917E0,1.196577866E-2,-1.578507029E-2,9.718072414E-4,1.983160891E-2
1.983191917E0,9.823240070E-3,-6.589629315E-4,5.761846304E-3,1.140741647E-2
1.993153917E0,1.302690212E-2,-1.458936950E-2,2.252756774E-2,2.983355811E-2
2.003115917E0,6.288294427E-3,-1.699140569E-2,6.810252070E-3,1.935536224E-2
2.013077917E0,4.843744368E-4,-2.052188141E-2,-3.515930772E-3,2.082652166E-2
2.023039917E0,6.522364636E-3,-1.516601460E-2,5.016911030E-3,1.725452508E-2
2.033001917E0,-7.928801584E-5,-1.502562661E-2,1.025660098E-2,1.819267999E-2
2.042963917E0,-2.141251514E-3,-6.700032055E-3,1.594594181E-2,1.742838052E-2
2.052925917E0,1.220378660E-2,-6.467057057E-3,2.777368963E-2,3.101826994E-2
2.062887917E0,8.564842745E-3,-1.746928766E-3,1.819536567E-2,2.018612452E-2
2.072849917E0,-2.668728610E-4,5.117921680E-3,1.610030830E-2,1.689627979E-2
2.082811917E0,8.716997118E-3,2.275115065E-4,1.714695990E-2,1.923684054E-2
2.092773917E0,1.442808685E-2,1.040438935E-4,1.744516790E-2,2.263878085E-2
2.102735917E0,1.050420429E-2,2.986611575E-3,7.265750170E-3,1.311675577E-2
2.112697917E0,1.211031109E-2,-4.603622518E-3,-4.560828209E-3,1.373514212E-2
2.122659917E0,1.021416983E-2,1.100900972E-2,3.181236148E-2,3.517888434E-2
2.132621917E0,-3.147238700E-3,2.674790528E-3,2.073364198E-2,2.114103890E-2
2.142583792E0,-1.986226067E-4,-9.735540971E-3,1.833862245E-2,2.076355659E-2
2.152545792E0,9.213723798E-3,8.191218227E-4,1.250251651E-2,1.555238200E-2
2.162507792E0,1.621127977E-3,-1.479977790E-2,1.190551579E-2,1.906312640E-2
2.172469792E0,6.593043997E-4,-9.485590775E-3,1.445197821E-2,1.729944475E-2
2.182431792E0,1.383050369E-2,-2.242441921E-2,1.684875190E-2,3.127327693E-2
2.192393792E0,4.288950954E-3,1.705230810E-3,3.226493597E-3,5.631445048E-3
2.202355792E0,7.628623577E-3,-9.053170905E-3,3.818231821E-4,1.184489722E-2
2.212317792E0,8.547963478E-3,-1.990976930E-3,1.819361150E-2,2.019997941E-2
2.222278792E0,4.858098597E-3,-9.008293524E-3,2.013898015E-2,2.259046249E-2
2.232240792E0,-8.600066509E-4,-1.173643989E-2,1.475135565E-2,1.887024447E-2
2.242202792E0,2.421495313E-3,-7.517692074E-4,1.325271428E-2,1.349308090E-2
2.252164792E0,-3.234081273E-3,-5.464990474E-3,6.814345121E-3,9.314542501E-3
2.262126792E0,1.121756574E-2,6.551092509E-3,3.255963564E-2,3.505539141E-2
2.272088792E0,5.687230350E-3,-4.062480982E-3,2.866714418E-2,2.950683813E-2
2.282050792E0,1.448920281E-2,-9.245909750E-4,1.788955629E-2,2.303970683E-2
2.292012792E0,1.255468578E-2,-5.817431398E-4,2.163060486E-2,2.501682687E-2
2.301974792E0,-2.727233885E-3,-3.866544440E-3,1.534367859E-2,1.605666352E-2
2.311936792E0,1.171441120E-2,-1.465467559E-2,2.417531312E-2,3.060118806E-2
2.321898792E0,1.372309422E-2,-1.345078871E-2,1.190083802E-2,2.260258785E-2
2.331860792E0,3.007221868E-3,-1.322497655E-2,1.040570498E-2,1.709450450E-2
2.341822792E0,1.504936836E-2,-1.463751767E-2,3.151356876E-2,3.786615147E-2
2.351784792E0,1.322786247E-2,-6.854672637E-3,9.359638095E-3,1.759447947E-2
2.361746792E0,-1.968004910E-3,-1.024591153E-2,1.564948797E-2,1.880846140E-2
2.371708792E0,5.899917110E-3,-1.490345635E-3,2.104003608E-2,2.190235764E-2
2.381670792E0,4.126207639E-3,-4.491246343E-3,8.766145706E-3,1.067905397E-2
2.391632792E0,1.268683514E-2,-6.101003084E-3,1.580034614E-2,2.116196972E-2
2.401594792E0,5.147064112E-3,-1.490966901E-2,6.069994569E-3,1.690074948E-2
2.411556792E0,1.270953992E-2,-5.895473454E-3,2.088859320E-2,2.515198477E-2
2.421518792E0,1.193626963E-2,-8.748439606E-3,2.687614202E-2,3.068121149E-2
2.431480792E0,3.207019628E-3,-1.381039247E-3,3.046808660E-2,3.066751613E-2
2.441442792E0,1.385036710E-2,-2.389117498E-3,1.624648869E-2,2.148229378E-2
2.451404792E0,1.128639615E-2,1.285364181E-3,3.525871038E-2,3.704337400E-2
2.461366792E0,-1.875712549E-3,3.327613883E-3,6.071164012E-3,7.172889528E-3
2.471328792E0,1.112830206E-2,-1.606102232E-3,6.968711615E-3,1.322806156E-2
2.481290792E0,1.108111320E-3,-7.050115820E-3,-1.715573072E-3,7.339975119E-3
2.491252792E0,4.112560329E-3,-1.034180587E-2,1.115765691E-2,1.575942286E-2
2.501214792E0,6.891825297E-3,2.451792341E-3,5.920305848E-3,9.410555932E-3
2.511176792E0,3.069029907E-3,-3.268593550E-4,1.864209294E-2,1.889585698E-2
2.521138792E0,5.282574476E-3,-1.057956828E-2,6.515552402E-3,1.350130665E-2
2.531100792E0,2.385663758E-2,2.229506783E-3,3.016812444E-2,3.852564846E-2
2.541062792E0,1.056512840E-2,-7.100675963E-3,2.253575385E-2,2.588246006E-2
2.551024792E0,8.838637476E-3,-1.342325198E-2,5.322135687E-3,1.693016049E-2
2.560986792E0,4.053184823E-3,-7.603573054E-3,9.809288979E-3,1.305621617E-2
